title,publication_date,setting_date,isbn,url,description,image
Consider Phlebas,1987,1331 CE,1-85723-138-4,https://en.wikipedia.org/wiki/Consider_Phlebas,"An episode in a full-scale war between the Culture and the Idirans, told mainly from the point of view of an operative of the Idiran Empire.",covers/consider-phlebas.jpg
The Player of Games,1988,c. 2083 to 2087/88 CE,1-85723-146-5,https://en.wikipedia.org/wiki/The_Player_of_Games,"A bored member of the Culture is blackmailed into being the Culture's agent in a plan to subvert a brutal, hierarchical empire. His mission is to win an empire-wide tournament by which the ruler of the empire is selected.",covers/the-player-of-games.jpg
Use of Weapons,1990,2092 CE main narrative. 1892 CE start of secondary narrative.,1-85723-135-X,https://en.wikipedia.org/wiki/Use_of_Weapons,Chapters describing the current mission of a Culture special agent born and raised on a non-Culture planet alternate with chapters that describe in reverse chronological order earlier missions and the traumatic events that made him who he is.,covers/use-of-weapons.jpg
The State of the Art,1991,Varies (title story: 1977 CE),0-356-19669-0,https://en.wikipedia.org/wiki/The_State_of_the_Art,"A short story collection. Two of the works are explicitly set in the Culture universe (""The State of the Art"" and ""A Gift from the Culture""), with a third work (""Descendant"") possibly set in the Culture universe. In the title novella, the Mind in charge of an expedition to Earth decides not to make contact or intervene in any way, but instead to use Earth as a control group in the Culture's long-term comparison of intervention and non-interference.",covers/the-state-of-the-art.jpg
Excession,1996,c. 1867 CE main setting. c. 1827 CE and c. 633 BCE flashbacks.,1-85723-394-8,https://en.wikipedia.org/wiki/Excession,An alien artifact far advanced beyond the Culture's understanding is used by one group of Minds to lure a civilisation (the behaviour of which they disapprove) into war; another group of Minds works against the conspiracy. A sub-plot covers how two humanoids make up their differences after traumatic events that happened 40 years earlier.,covers/excession.jpg
Inversions,1998,Unspecified,1-85723-763-3,https://en.wikipedia.org/wiki/Inversions_(novel),"Not explicitly a Culture novel, but recounts what appear to be the activities of a Special Circumstances agent and a Culture emigrant on a planet whose development is roughly equivalent to that of medieval Europe. The interwoven stories are told from the viewpoint of several of the locals.",covers/inversions.jpg
Look to Windward,2000,c. 2167 CE,1-85723-969-5,https://en.wikipedia.org/wiki/Look_to_Windward,"The Culture has interfered in the development of a race known as the Chelgrians, with disastrous consequences. Now, in the light of a star that was destroyed 800 years previously during the Idiran War, plans for revenge are being hatched.",covers/look-to-windward.jpg
Matter,2008,c. 1887 or 2167 CE,1-84149-417-8,https://en.wikipedia.org/wiki/Matter_(novel),"A Culture special agent who is a princess of an early-industrial society on a huge artificial planet learns that her father and brother have been killed and decides to return to her homeworld. When she returns, she finds a far deeper threat.",covers/matter.jpg
Surface Detail,2010,Sometime between 2767 CE and c. 2967 CE,1-84149-893-9,https://en.wikipedia.org/wiki/Surface_Detail_(novel),"A young woman seeks revenge on her murderer after being brought back to life by Culture technology. Meanwhile, a war over the digitized souls of the dead is expanding from cyberspace into the real world.",covers/surface-detail.jpg
The Hydrogen Sonata,2012,c. 2375 CE,978-0356501505,https://en.wikipedia.org/wiki/The_Hydrogen_Sonata,"In the last days of the Gzilt civilisation, which is about to Sublime, a secret from far back in their history threatens to unravel their plans. Aided by a number of Culture vessels and their avatars, one of the Gzilt tries to discover if much of their history was actually a lie.",covers/the-hydrogen-sonata.jpg
